 จำนวนรถที่จดทะเบียนสะสม  ณ  วันที่  31 มกราคม 2560 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Number of Vehicle Registered in Thailand as of 31 January 2017 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (คัน : Unit) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ประเภทรถ , ทั่วประเทศ , กรุงเทพฯ , ส่วนภูมิภาค ,รวมภาคกลาง,ชัยนาท,สิงห์บุรี,ลพบุรี,อ่างทอง,สระบุรี, พระนครศรีอยุธยา,ปทุมธานี,นนทบุรี,สมุทรปราการ,รวมภาคตะวันออก,นครนายก,ปราจีนบุรี,ฉะเชิงเทรา,ชลบุรี,ระยอง,จันทบุรี,ตราด,สระแก้ว,รวมภาคตะวันออกเฉียงเหนือ,,ชัยภูมิ,ยโสธร,อุบลราชธานี,ศรีสะเกษ,บุรีรัมย์,นครราชสีมา,สุรินทร์,อำนาจเจริญ,หนองบัวลำภู,บึงกาฬ,หนองคาย,เลย,อุดรธานี,นครพนม,สกลนคร,ขอนแก่น,กาฬสินธุ์,มหาสารคาม,ร้อยเอ็ด,มุกดาหาร,รวมภาคเหนือ,เชียงราย,แม่ฮองสอน,เชียงใหม่,พะเยา,น่าน,ลำพูน,ลำปาง,แพร่,อุตรดิตถ์,สุโขทัย,ตาก,พิษณุโลก,กำแพงเพชร,พิจิตร,เพชรบูรณ์,นครสวรรค์,อุทัยธานี,รวมภาคตะวันตก,สุพรรณบุรี,กาญจนบุรี,นครปฐม,ราชบุรี,สมุทรสาคร,สมุทรสงคราม,เพชรบุรี,ประจวบคีรีขันธ์,รวมภาคใต้,ชุมพร,ระนอง,สุราษฎร์ธานี,พังงา,นครศรีธรรมราช,กระบี่,ภูเก็ต,พัทลุง,ตรัง,สงขลา,สตูล,ปัตตานี,ยะลา,นราธิวาส
                   - ไม่ประจำทาง Non Fixed Route Bus ," 61,274 "," 16,955 "," 44,319 "," 8,047 ", 208 , 183 , 875 , 736 , 665 ," 2,099 "," 1,121 ", 873 ," 1,287 "," 11,960 ", 179 , 415 ," 1,343 "," 2,608 ", 645 , 670 , 257 , 223 ," 5,620 ",, 169 , 114 , 340 , 211 , 238 ," 2,090 ", 354 , 38 , 90 , 68 , 135 , 119 , 287 , 151 , 175 , 344 , 208 , 148 , 255 , 86 ," 5,584 ", 583 , 60 ," 2,472 ", 177 , 179 , 96 , 167 , 50 , 139 , 156 , 179 , 410 , 157 , 165 , 142 , 268 , 184 ," 3,077 ", 506 , 210 , 501 , 336 , 460 , 101 , 401 , 562 ," 15,651 ", 154 , 91 ," 1,100 "," 1,094 ", 366 ," 1,252 "," 6,778 ", 224 , 245 ," 3,211 ", 197 , 273 , 555 , 111 
                   - ส่วนบุคคล Private Bus ," 12,219 "," 3,027 "," 9,192 "," 1,325 ", 38 , 41 , 186 , 53 , 104 , 140 , 229 , 306 , 228 ," 3,777 ", 20 , 40 , 121 , 500 , 205 , 57 , 22 , 24 ," 2,788 ",, 144 , 52 , 246 , 255 , 142 , 372 , 119 , 27 , 70 , 46 , 50 , 83 , 222 , 44 , 111 , 327 , 118 , 119 , 226 , 15 ," 1,615 ", 133 , 23 , 327 , 53 , 53 , 48 , 147 , 53 , 47 , 63 , 66 , 108 , 90 , 92 , 102 , 172 , 38 , 882 , 138 , 106 , 236 , 86 , 159 , 13 , 88 , 56 ," 1,593 ", 19 , 10 , 95 , 53 , 257 , 69 , 182 , 90 , 119 , 303 , 36 , 160 , 136 , 64 
     รวมรถบรรทุก Truck : Total ," 1,056,068 "," 138,245 "," 917,823 "," 142,176 "," 7,691 "," 4,751 "," 13,954 "," 4,752 "," 29,790 "," 19,722 "," 18,301 "," 16,019 "," 27,196 "," 390,173 "," 3,763 "," 10,386 "," 20,464 "," 45,137 "," 22,622 "," 7,253 "," 3,001 "," 9,834 "," 267,713 ", -   ," 18,786 "," 5,498 "," 17,734 "," 12,005 "," 18,326 "," 50,294 "," 16,205 "," 3,073 "," 7,533 "," 3,069 "," 5,386 "," 10,398 "," 20,272 "," 4,281 "," 7,853 "," 26,379 "," 12,159 "," 11,147 "," 12,990 "," 4,325 "," 164,713 "," 14,047 ", 927 ," 17,079 "," 6,499 "," 5,530 "," 4,039 "," 8,417 "," 5,691 "," 5,803 "," 9,914 "," 6,169 "," 13,174 "," 16,680 "," 8,960 "," 12,626 "," 23,152 "," 6,006 "," 130,842 "," 25,289 "," 17,157 "," 35,592 "," 17,066 "," 12,526 "," 2,868 "," 9,965 "," 10,379 "," 89,919 "," 6,319 "," 2,880 "," 15,268 "," 2,599 "," 12,399 "," 4,671 "," 4,072 "," 5,153 "," 6,317 "," 19,135 "," 1,970 "," 2,977 "," 3,352 "," 2,807 "
     แยกเป็น - ไม่ประจำทาง Non Fixed Route Truck ," 275,169 "," 74,019 "," 201,150 "," 49,269 "," 1,139 ", 606 ," 1,157 ", 372 ," 11,197 "," 8,429 "," 6,163 "," 5,480 "," 14,726 "," 71,394 ", 941 ," 1,185 "," 6,930 "," 18,076 "," 10,050 ", 792 , 369 ," 1,165 "," 31,886 ",," 1,580 ", 526 ," 2,484 ", 629 ," 1,399 "," 6,115 "," 1,840 ", 164 , 725 , 486 ," 1,645 ", 953 ," 3,578 ", 510 , 835 ," 3,381 ", 870 ," 1,895 "," 1,246 "," 1,025 "," 26,563 "," 3,855 ", 90 ," 4,229 "," 1,132 ", 509 , 587 ," 2,945 ", 305 , 854 , 626 ," 2,374 "," 1,501 "," 1,268 ", 449 , 408 ," 5,257 ", 174 ," 31,722 "," 1,246 "," 2,903 "," 11,157 "," 3,890 "," 4,072 ", 596 ," 4,686 "," 3,172 "," 22,202 "," 1,406 ", 623 ," 3,349 ", 223 ," 1,858 ", 419 , 488 ," 1,041 "," 1,702 "," 9,241 ", 317 , 464 , 657 , 414 
                   - ส่วนบุคคล Private Truck ," 780,899 "," 64,226 "," 716,673 "," 92,907 "," 6,552 "," 4,145 "," 12,797 "," 4,380 "," 18,593 "," 11,293 "," 12,138 "," 10,539 "," 12,470 "," 318,779 "," 2,822 "," 9,201 "," 13,534 "," 27,061 "," 12,572 "," 6,461 "," 2,632 "," 8,669 "," 235,827 ",," 17,206 "," 4,972 "," 15,250 "," 11,376 "," 16,927 "," 44,179 "," 14,365 "," 2,909 "," 6,808 "," 2,583 "," 3,741 "," 9,445 "," 16,694 "," 3,771 "," 7,018 "," 22,998 "," 11,289 "," 9,252 "," 11,744 "," 3,300 "," 138,150 "," 10,192 ", 837 ," 12,850 "," 5,367 "," 5,021 "," 3,452 "," 5,472 "," 5,386 "," 4,949 "," 9,288 "," 3,795 "," 11,673 "," 15,412 "," 8,511 "," 12,218 "," 17,895 "," 5,832 "," 99,120 "," 24,043 "," 14,254 "," 24,435 "," 13,176 "," 8,454 "," 2,272 "," 5,279 "," 7,207 "," 67,717 "," 4,913 "," 2,257 "," 11,919 "," 2,376 "," 10,541 "," 4,252 "," 3,584 "," 4,112 "," 4,615 "," 9,894 "," 1,653 "," 2,513 "," 2,695 "," 2,393 "
     โดยรถขนาดเล็ก Small Rural Bus , 769 , -   , 769 , 22 , 3 , 1 , 1 , -   , -   , 2 , -   , 8 , 7 , 198 , -   , -   , -   , 3 , 1 , -   , -   , 2 , 192 ,, -   , 11 , -   , 9 , -   , 12 , 2 , -   , 2 , -   , 2 , -   , 2 , -   , 61 , 4 , 2 , 81 , 4 , -   , 360 , 8 , 3 , -   , 9 , 1 , -   , 8 , 19 , -   , -   , 1 , 1 , 43 , 3 , 103 , 158 , 3 , 31 , 3 , 4 , 14 , -   , 7 , 1 , -   , 2 , 158 , 3 , -   , 28 , 9 , 20 , -   , -   , 27 , 1 , 1 , 1 , 32 , 14 , 22 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 กลุ่มสถิติการขนส่ง  กองแผนงาน  กรมการขนส่งทางบก  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" (Transport Statistics Sub-Division, Planning Division , Department of Land Transport) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
